"corpus","tgl_wikipedia_2021"
"1953)『上代仮名遣の研究』(岩波書店",1
"1953(genesis",1
"sabaean",1
"sabahagi",1
"kaw",1
"sabaku",1
"sabalás",1
"kawabe",1
"deardream",1
"sabanang",1
"sabaody",1
"sabaree",1
"kawagian",1
"dearka",1
"arteista",1
"sabathh",1
"kawagoeshi",1
"kawahig",1
"kawai",1
"deathbomb",1
"death/deep",1
"sabbatarianong",1
"kawakasang",1
"kawajiri",1
"artek",1
"1953-1954.",1
"sabbath(sabado",1
"sabel",1
"kawaksing",1
"sabelle",1
"sabelo",1
"kawal-babilonia",1
"deaths",1
"sabeth-dagon",1
"kawal-kristiyano",1
"kawal-kastila",1
"kawal-muslim",1
"kawal/sundalo",1
"debacle",1
"death’s",1
"deathrow",1
"sabian",1
"sabihin-masigla",1
"sabihing""isa",1
"kawalan-ng-pag-asa—at",1
"debakal",1
"sabilang",1
"sabillboard",1
"kawalan.”",1
"kawalang-agresyon",1
"kawalan-trabaho",1
"artemivsk",1
"526",1
"13/31.",1
"13.9%",1
"sabino-latin",1
"kawalang-buhay",1
"kawalang-batas",1
"sabitang",1
"kawalang-habas",1
"kawalang-galaw",1
"debates",1
"sablayon",1
"kawalang-halaga",1
"sabon(likidong",1
"kawalang-kabuluhan",1
"kawalang-husayang",1
"debatesa",1
"debater",1
"saborío",1
"sabras",1
"sabretooth",1
"sabra",1
"kawalang-katarungan",1
"sabritish",1
"sabronchi",1
"kawalang-katatagan",1
"kawalang-likha",1
"debell",1
"debehogne",1
"debeaumarché",1
"arten-",1
"sabu",1
"kawalang-pag-iingat",1
"kawalang-malay",1
"kawalang-tahanan",1
"debelop",1
"debelle",1
"saburo",1
"sabutan",1
"kawalang-tiwala",1
"sabwatang",1
"sabáyang",1
"debelopmentong",1
"arterio-venous",1
"arteries",1
"sacay",1
"sacca",1
"sacajawea",1
"kawalipikado",1
"kawamo",1
"debian",1
"deberny",1
"sace",1
"sach",1
"kawamori",1
"kawamura",1
"sachi-no-miya",1
"debikuro-kun",1
"debidement",1
"arteriosklerosis",1
"529",1
"5261.",1
"sachsen",1
"sachio",1
"sackler",1
"kawang-gawang",1
"kawan-kawan",1
"sacradong",1
"sacra",1
"sacre",1
"sacredly",1
"kawangggawa",1
"debitasyong",1
"debisyong",1
"sacristan",1
"sacrificed",1
"sacristo",1
"sacrosanctum",1
"kawanian",1
"debitibo",1
"sadakazu",1
"sacs”",1
"sadanao",1
"sadamochi",1
"kawanishi",1
"52:8-11",1
"529.525",1
"sadder",1
"saddened",1
"saddiq",1
"kawardha",1
"kawarayu",1
"kawano",1
"sadhan",1
"sadi",1
"kawasakan",1
"sadistik",1
"kawashima",1
"kawarian",1
"deboo",1
"sadness",1
"sadomasochistic",1
"kawasi",1
"sadpara",1
"sadsad",1
"kawatan",1
"arteryol",1
"sadsaran",1
"sadui",1
"kawawang",1
"sadus",1
"sadykov",1
"kawawasak",1
"kawawaan",1
"52°s",1
"1954–1955",1
"1954.”",1
"1-889758-86-8",1
"1-85168-300-3",1
"sadıyqova",1
"sadykow",1
"saelan",1
"saejae",1
"kawayan,dahon,balat",1
"saen",1
"saenz",1
"kawika",1
"saez",1
"kawikaang",1
"debrata",1
"debraliz",1
"artesaniya",1
"kawil",1
"safelight",1
"safety/outside",1
"kawilihan",1
"debrecen",1
"saffir-simpson",1
"safron",1
"kawing-kawing",1
"safwan",1
"kawingan",1
"debride",1
"artesian",1
"1954–1961",1
"sagalee",1
"kawingang",1
"sagamihara",1
"kawit,cavite",1
"debridemento",1
"saganon",1
"sagap",1
"kawlin",1
"sagarmatha",1
"kawnting",1
"artform",1
"artest",1
"kawsa",1
"kawntri",1
"kawsal",1
"kawsalidad",1
"debteras",1
"debt",1
"sagingero",1
"sagigilid",1
"sagiping",1
"kawtso",1
"arthale",1
"1954–55",1
"130,000-taong-gulang",1
"sagisu",1
"sagisang",1
"kaya-tinatawag",1
"saglot",1
"debug",1
"debuff",1
"sagnac",1
"sagot(sa",1
"kayag",1
"debura",1
"arthritis",1
"sagredo",1
"kayali",1
"kayala",1
"saguisag",1
"debutante",1
"arthropoda",1
"sagupahan",1
"kayamuan",1
"debutanting",1
"saguypaan",1
"kayan",1
"kayamutan",1
"arthropods",1
"53,400",1
"53,380",1
"kayana",1
"kayanang",1
"debuts",1
"sahabah(kasama",1
"sahabang",1
"debyasyon",1
"arthroscopic",1
"sahadeva",1
"sahalip",1
"kayanian",1
"kayanunan",1
"kayar",1
"debyung",1
"debyu",1
"53-58",1
"sahib",1
"debórah",1
"sahig-dagat",1
"arthurdale",1
"sahitya",1
"kaybadya",1
"deca",1
"saho",1
"sahod(gni",1
"decabrina",1
"arthurian",1
"53-76",1
"1955-1959",1
"130,000.",1
"1-9",1
"sahod(gross",1
"kayena",1
"kayemaz",1
"sahot",1
"kayhacat",1
"kayganda",1
"arthus",1
"sahugan",1
"kaylan-lamang",1
"decaffeinated",1
"kaylanman",1
"kayleen",1
"decal",1
"arti",1
"53-anyos",1
"saidi",1
"saigyouji",1
"saide",1
"saihin",1
"saijousai",1
"saigō",1
"decano",1
"saikaku",1
"kayropraktik",1
"kayonza",1
"kays",1
"decapolis",1
"decapods",1
"decamps",1
"1955-57",1
"sailors",1
"kayser",1
"kaysayan",1
"sainan",1
"kayseri",1
"kayser-roth",1
"decaro",1
"saint-denys",1
"saint-exupéry",1
"kaytikling",1
"saint-germain-en-laye",1
"saint-guillaume",1
"saint-gall",1
"kaysuyo",1
"articles",1
"saint-hilaire",1
"kayugtuan",1
"saint-nazaire",1
"saint-pères",1
"kayumangging-abo",1
"decca",1
"saint-quentin",1
"kayumanggi”",1
"kayumangging-kahel",1
"kayumanggi”(o",1
"sainte-marie",1
"deceiver",1
"deceitful",1
"53.36.",1
"53.2%",1
"130-135",1
"saintiago",1
"saints”",1
"kayá",1
"sairi",1
"kazadi",1
"kayó",1
"decemberists",1
"saisang",1
"saisari",1
"december”",1
"saison",1
"kazakhstania",1
"decembrist",1
"articulatory",1
"articulators",1
"kazallu",1
"saitis",1
"decent",1
"saivismo",1
"kazanjian",1
"decentralization",1
"articuno",1
"sajda",1
"saiyûki",1
"sajid-wajid",1
"kazemi",1
"decet",1
"artie",1
"53.74%",1
"53.7",1
"sajor",1
"saka-sakali",1
"kazenyy",1
"kazmierczak",1
"kazoo",1
"dechinghala",1
"decety",1
"sakada",1
"sakaguchi",1
"kazuaki",1
"kazue",1
"kazuha",1
"decibel",1
"decianus",1
"53.9",1
"sakal",1
"sakalin",1
"kazuhiro",1
"sakang",1
"kazuho",1
"decibels",1
"sakanila",1
"sakanoue",1
"kazuko",1
"sakaripikasyon",1
"sakarina",1
"deciding",1
"artifak",1
"1956-1959.",1
"130.",1
"1-902930-16-9",1
"/siː/",1
"/seynt",1
"sakasunduang",1
"kazuomi",1
"sakbibi",1
"decipher",1
"decimeter",1
"sakdalin",1
"sakdidej",1
"kazuyo",1
"sakellarios",1
"saket",1
"kb7",1
"artigas",1
"artificiality",1
"sakharov",1
"sakhon",1
"decisis",1
"sakir-har",1
"kbit/s",1
"artiklulong",1
"sakit-pagpatay",1
"sakitang",1
"sakit(""mastodynia",1
"sakiyama",1
"sakka",1
"deck-builder",1
"deck-ang",1
"530-500",1
"530,000",1
"sakla",1
"kbs-9",1
"kbs-12",1
"saklawin",1
"saklaw-abv",1
"deck-building",1
"kbtu",1
"kbtc",1
"kc",1
"kc-10",1
"declamation",1
"declamatio",1
"artikuladong",1
"kcal",1
"kcb",1
"declaratio",1
"sakop(domain",1
"sakop-panahon",1
"kcca",1
"artikulador",1
"sakral",1
"sakramentalidad",1
"declension",1
"kcsb-fm",1
"declercq",1
"artikular",1
"530s",1
"5300",1
"1956–1957",1
"sakripsyong",1
"sakripsyo",1
"sakristán",1
"kdaba",1
"kd",1
"saksa",1
"saksakang",1
"kday",1
"ke$ha",1
"ke-tsiap",1
"decode",1
"deco*27",1
"decline",1
"saksonya",1
"ke3sa",1
"sakthi",1
"keamanan",1
"kealey",1
"decompiler",1
"sakuna-na",1
"sakunar",1
"keanna",1
"keann",1
"decommissioned",1
"artikulasyong",1
"sakura-sō",1
"sakupin/kalabanin",1
"sakuragaoka",1
"keay",1
"decora",1
"deconstructing",1
"sakuranbo",1
"sakurano-",1
"kebangsaan",1
"sakurasawa",1
"kebkanjana",1
"kebap",1
"decoratifs",1
"artikulogn",1
"saká",1
"kebob",1
"kebudajaan",1
"sala-salang",1
"decreasing",1
"decoy",1
"salaam",1
"salaan…",1
"keccak-256",1
"salaban",1
"kecskemét",1
"keck",1
"decreciera",1
"artikulo—kumpara",1
"artikulo.”",1
"1957-1958.",1
"1300-1200bc",1
"salabusab",1
"salacnib",1
"kedabu",1
"kedi",1
"kedamono",1
"decrement",1
"salaginto",1
"kedron",1
"kedo",1
"keds",1
"kee",1
"decreto",1
"decretal",1
"artileriya",1
"salakaying",1
"salalah",1
"kee-ah-noo",1
"keelapirom",1
"keele",1
"decriminalization",1
"artileryang",1
"salamander",1
"salaman",1
"salamangkang",1
"keempee",1
"decumani",1
"artillerists",1
"535,000",1
"1957-1985",1
"salamankang",1
"keeney",1
"keenan",1
"keenspace",1
"keenspot",1
"decumbiture",1
"decumanus",1
"salaminan",1
"keeper”",1
"salammoniac",1
"dedalus",1
"decvax",1
"artilyera",1
"salang(guilty",1
"keep”",1
"keery",1
"kees",1
"dedepensahan",1
"dedede",1
"salapid",1
"keese",1
"salaping-dugo",1
"kegon",1
"kegan",1
"dedicacion",1
"artilyeriyang",1
"535–552",1
"1300-1500",1
"salarangan",1
"kehan",1
"salario",1
"salasalabat",1
"keighron",1
"dedicatee",1
"salata",1
"keihin",1
"keihi",1
"salawahan",1
"salawikaing",1
"keihou",1
"dedikadomg",1
"artilyerong",1
"salaysay-prosa",1
"salaysalay",1
"salbabida",1
"keiken(ひと夏の経験)(karanasan",1
"keiichiro",1
"salbaheng",1
"keine",1
"dedikasyong",1
"keino",1
"saldaña",1
"dedlock",1
"artimus",1
"artilyeryang",1
"536-39.",1
"salduie",1
"salebrosum",1
"keiron",1
"saleha",1
"keishawn",1
"keisar",1
"dedoplisa",1
"saleng",1
"salernitana",1
"keita",1
"keitaro",1
"keitai",1
"artiodactyla",1
"artiodactyl",1
"salesperson",1
"salg",1
"salgado",1
"keithley–castro",1
"keitel",1
"saliatng",1
"salibad",1
"saliano",1
"saliceti",1
"salido",1
"kejser",1
"keiō",1
"deduksyong",1
"1957–58",1
"1957–1958",1
"1-anyo",1
"/t/",1
"salient",1
"kekisheva",1
"saligang-aklat",1
"deedaat",1
"dee-dee",1
"saligatang",1
"saligutgot",1
"kelangan",1
"salikop",1
"keldeo",1
"kelantan-pattani",1
"deeds",1
"artipisyal(hindi",1
"keldysh",1
"kele",1
"deegar",1
"kelechi",1
"kelendria",1
"deejay",1
"artisa",1
"salin-",1
"salimpawpaw",1
"salinello",1
"kellett",1
"deekshith",1
"53rd",1
"53:6",1
"salingoy",1
"saling-lahi",1
"salinity",1
"salinhaling",1
"kells",1
"kelowna",1
"kelot",1
"saliotite",1
"keltikong",1
"deep-bore",1
"deep-ball",1
"artisanal",1
"salipawan",1
"salirophilia",1
"keltner",1
"salis",1
"kelurahan",1
"kelts",1
"keltisistang",1
"salit",1
"salit(alternating",1
"salising",1
"kemal",1
"kemalista",1
"deepawali",1
"artisiko",1
"artisanong",1
"53–31",1
"1300s",1
"salita(e",1
"salita/parirala/linya",1
"kembatti",1
"kemeny",1
"kemerhisar",1
"deepika",1
"deeper",1
"salitang-kantong",1
"salitang-tsino",1
"kemerovo",1
"salitang“charity”",1
"salita—salitang",1
"kemijoki",1
"deeply",1
"artist(s",1
"salitre",1
"kemikal(metabolayt",1
"kemikal/terapeutikal/parmakolohikal",1
"saliwayway",1
"dees",1
"deering",1
"saliytang",1
"kemiri",1
"kemikong",1
"kemisri",1
"salli",1
"deewani",1
"deevoy",1
"artist-house",1
"54)ni",1
"salling",1
"kemmei",1
"salmaneser",1
"kemolitotropikong",1
"kemmu",1
"deewarein",1
"kemoreseptor",1
"kemometriks",1
"salmonid",1
"salmonidae",1
"kemp",1
"defamation",1
"artist/label",1
"salo",1
"kempchinsky",1
"kempa",1
"defaulting",1
"salon.com",1
"kempt",1
"salonika",1
"salonta",1
"salonica",1
"defector",1
"artista-biswal",1
"artist-painter",1
"1958–1959",1
"1-bit",1
"kena",1
"ken-ō",1
"salophakiolos",1
"kenangan",1
"defend",1
"artista-direkisyor",1
"salpicadero",1
"kenbutsu",1
"kenbunroku",1
"salpukin",1
"salsabila",1
"kendal",1
"artista-modelo",1
"54,600",1
"salso",1
"salsburg",1
"salta",1
"salt-n-pepa",1
"kendihan",1
"saltgrains",1
"saltino",1
"defenestration",1
"kengkay",1
"kengo",1
"defensa",1
"artista/pintor",1
"artista/artista",1
"1959-1968",1
"saltwater",1
"salty",1
"kenichi",1
"salubid",1
"kengtung",1
"salubungang-daan",1
"kenkoy",1
"kenko",1
"saludarin",1
"kenkyuusei/trainees",1
"kenkyuusei",1
"defensor-santiago",1
"artista”",1
"saluin",1
"saluk",1
"kenn",1
"salumita",1
"kennel",1
"kenkyūsei",1
"salunday",1
"kennett",1
"defi",1
"kennicutt",1
"defiant",1
"artistica",1
"54.9",1
"1959-66",1
"1301.",1
"salus",1
"salustiano",1
"kennicutt–schmidt",1
"salutatoryana",1
"salutaris",1
"deficiences",1
"salutong",1
"kenos",1
"kenorland",1
"salvado",1
"kenotafion",1
"kenotaf",1
"deficient",1
"defiantly",1
"salvadorian",1
"kensal",1
"kenrick",1
"salvana",1
"kenscoff",1
"deficits",1
"salvatores",1
"salvatoris",1
"definable",1
"kensuke",1
"define",1
"artistkong",1
"artisting",1
"540,000",1
"salvina",1
"salvio",1
"salvie",1
"salya",1
"kenti",1
"kenta",1
"salyente",1
"kentish",1
"kentiko",1
"kento",1
"salíva",1
"definitive",1
"definitions",1
"defines",1
"definitorio",1
"kentucky’s",1
"definitors",1
"artistsa",1
"kenworthy",1
"deflator",1
"kenyah",1
"samahanng",1
"deflotte",1
"artistshare",1
"540°",1
"540,000.",1
"1959/unang",1
"1-dong",1
"/tra-sur/",1
"(h)indi",1
"(dapat",1
"$18,000",1
"$11,480",1
"kenyatta",1
"kenyanthropus",1
"kenyo",1
"deforest",1
"defore",1
"kenyu",1
"kenzaburo",1
"deformation",1
"samanillo",1
"keokuk",1
"deformations",1
"artix",1
"artium",1
"keough",1
"keopuolani",1
"samantla",1
"kepang",1
"kepala",1
"defrantz",1
"samaratungga",1
"samareños",1
"samaras",1
"samarinda",1
"samaritanismo",1
"kepler-37",1
"kephalos",1
"artizein",1
"541,000",1
"kepler-37d",1
"kepler-37c",1
"kept",1
"kepuha",1
"degarmo",1
"defy",1
"samat",1
"samassa",1
"keraites",1
"keraite",1
"ker",1
"artquest",1
"sama–bajau",1
"samba-samba",1
"kerak",1
"sambahayan(hindi",1
"keranda",1
"degoma",1
"sambahayansa",1
"sambahayn",1
"keratinoso",1
"sambahsa-mun",1
"sambalenyong",1
"keraunos",1
"artropoda",1
"542,022",1
"1959:75-82",1
"1959:17",1
"sambales",1
"kerby",1
"kerbie",1
"kerdyliou",1
"degreef",1
"degree-granting",1
"samdo",1
"kerenyi",1
"samegrelo-zemo",1
"sameera",1
"kerenski",1
"arts-déco",1
"samekh",1
"samezuka",1
"kerin",1
"keris",1
"kerito",1
"degu",1
"artsen",1
"kerk",1
"kerke",1
"deguchi",1
"samigue",1
"kerkyra",1
"kerkgenootschap",1
"artsibolta",1
"542–8",1
"542.0",1
"samkhya",1
"kerman",1
"kerll",1
"sammi",1
"kermartin",1
"dehenerado",1
"samnita-",1
"dehenerado(nondegeneracy",1
"kernel-level",1
"kerosene",1
"deheneradong",1
"artsita",1
"artsibos",1
"samosata",1
"kerots",1
"dehenerasyon",1
"samothrace",1
"deheneratibo",1
"artsy",1
"sampaguita-vp",1
"kerrigan",1
"kersti",1
"kersten",1
"dehidrohenaseng",1
"543,010,705",1
"195–199",1
"1959–1960",1
"1302.",1
"sampalataya",1
"kertanegara",1
"sampalok,manila",1
"kertzer",1
"dehydrated",1
"dehydrasyon",1
"sampe",1
"samper",1
"kerubino",1
"sampitan",1
"sampl",1
"kesehodang",1
"dehydration",1
"artur",1
"sampler",1
"samplers",1
"sample-based",1
"samplo",1
"kesennuma-minato",1
"samprati",1
"keshav",1
"sampu-sampu",1
"kesitah",1
"deigner",1
"artusio",1
"544,853",1
"sampuhang",1
"sampung-minuto",1
"keso?”",1
"keso”",1
"kessinger",1
"deiphobus",1
"deinonychus",1
"sampādethā",1
"kestelçay",1
"kessler",1
"kester",1
"ketagalan",1
"deira",1
"artyphius",1
"545",1
"samsung-dong",1
"samsonov",1
"samsung/radio",1
"ketios",1
"ketevan",1
"samuelle",1
"ketoacidosis",1
"samui",1
"deitch",1
"art”",1
"artzot",1
"196,000",1
"1303.",1
"samut-sari",1
"samurott",1
"samuwan",1
"samwer",1
"ketonging",1
"deitcher",1
"samyaksamādhi",1
"samyong",1
"ketsup",1
"samín",1
"kettler",1
"dejan",1
"dei”",1
"aru",1
"ketua",1
"sanahi",1
"ketunging",1
"ketungin",1
"dejanira",1
"sanamahi",1
"keulemans",1
"ketzerei",1
"keun-suk",1
"sanatorium",1
"dejima",1
"dejean",1
"arubyano",1
"5478.",1
"sanatoriumnoon",1
"kevan",1
"sanay’y",1
"sanaysay-teoretika",1
"dejopeja",1
"sancai",1
"kevo",1
"sancha",1
"kevola",1
"dekad",1
"548",1
"sanchuniathon",1
"kew",1
"kevorkian(1928-2011",1
"dekada-1770",1
"dekada-1600",1
"kexp.org",1
"sanctuaries",1
"dekada-1850",1
"key-pairs",1
"dekada-1860s",1
"aruna",1
"548,722",1
"196.",1
"196,024",1
"1-gigahertz",1
"/tred-mil/",1
"sandaang-libo",1
"keyboardboards",1
"sandaigdig",1
"keychain",1
"dekada-1880",1
"dekada-1870",1
"keyeast",1
"dekada-1890",1
"sandalign",1
"sandali—sa",1
"keynasianismo",1
"arundinacea",1
"arundhati",1
"sandani",1
"sandalyang",1
"keynesianismo",1
"sandatan",1
"sandatudama",1
"keynsian",1
"sandawe",1
"sandbars",1
"keyos",1
"arupsport",1
"arupa-dhatu",1
"549,432.",1
"sandburg",1
"keystone",1
"sandeep",1
"sanden",1
"key”",1
"keysa",1
"sandesh",1
"keçiören",1
"sandfort",1
"sandglass",1
"kfupm",1
"kezou",1
"aruy-aruy",1
"sandibinskogo",1
"kg/5.5",1
"sandika",1
"sandinista/",1
"kg/m/s",1
"dekada-40",1
"sandland",1
"sanditon",1
"sandomierz",1
"kgpians",1
"kgm",1
"aruz",1
"aruyan",1
"aruro",1
"549",1
"sandoy",1
"kgtc",1
"kgs",1
"kg·m-1·s-2",1
"sandringham",1
"dekadente",1
"dekada”",1
"kha-nyou",1
"kha",1
"khaba",1
"khabardin",1
"dekads",1
"dekado",1
"arv",1
"sandwith",1
"sane",1
"khabarovka",1
"saneoki",1
"khabbab",1
"arvand",1
"sang-back",1
"sang-guk",1
"khadija",1
"khadra",1
"khadzhi",1
"dekanang",1
"arvil",1
"55,000.",1
"1960-1967",1
"sang-yeob",1
"sang-wook",1
"sangahay",1
"khaganate",1
"sangam-dong",1
"khair",1
"khaila",1
"sangang-daan",1
"sangang-luntian",1
"khairpur",1
"dekar",1
"dekapitasyon",1
"sangang-selula",1
"sangarius",1
"khairunnisa",1
"sangathan",1
"sangay-na-ikot(stem-loops",1
"khajeh",1
"dekate",1
"khakau",1
"sangayo",1
"dekatlong",1
"sangbahagi",1
"sangedevarkoppa",1
"dekay",1
"arw",1
"55,183",1
"55,100",1
"1304–1374",1
"1304-1374",1
"sanggahin",1
"sangg",1
"sanggano",1
"sanggatosg",1
"khalif",1
"deketamapesan",1
"khalifatul",1
"khalifah",1
"sangguniang-gabay",1
"khalili",1
"deklara",1
"arwc",1
"sangguninang",1
"sanghalaman",1
"khalis",1
"sanghamitra",1
"khalqisternas",1
"khalqisterna",1
"deklaratibo",1
"sanghyang",1
"sangka",1
"khaluang",1
"kham",1
"khama",1
"deklasyon",1
"deklaratoryong",1
"55,683",1
"55,500",1
"sangkabutuhan",1
"sangkakristiyanuhan",1
"khambo",1
"khambyn",1
"khamenei",1
"deklensiyong",1
"deklensiyon",1
"sangkalibutan",1
"khamtai",1
"khamis",1
"sangkap-balarila",1
"khan-bahadur",1
"deklinasyong",1
"arz",1
"aryong",1
"sangkapt",1
"sangkatauan",1
"khana",1
"khandoba",1
"khandava",1
"arzobispado",1
"khane",1
"khaneferre",1
"dekoksiyon",1
"sangkulirang",1
"khang/",1
"khanem",1
"arál",1
"55-60",1
"55-34",1
"1960s-80s",1
"sanglibong",1
"khanlig",1
"khani",1
"sangoku",1
"sangpanig",1
"khanom",1
"dekoloniksadong",1
"khanty",1
"khanty-mansi",1
"khanum",1
"dekomposisyong",1
"arévalos",1
"aré",1
"sangwal",1
"sangá",1
"khar",1
"kharadze",1
"sanhi-at-epekto",1
"dekompresyon",1
"dekomposiyong",1
"sanhiin",1
"sanhing-pangulay",1
"kharijiteng",1
"sanib-puwersa",1
"sanin",1
"dekonsentrasyon",1
"dekonbolusyon",1
"arūpajhāna",1
"55-taong",1
"sanita",1
"sanitary-inspector",1
"kharod",1
"sanitaryo",1
"khartsyzk",1
"dekorador",1
"dekontrol",1
"sanità",1
"kharu(sa",1
"sanjana",1
"khashia",1
"khasekhemwy",1
"as-salām",1
"as-19",1
"khasi",1
"khasim",1
"dekoritibong",1
"sanka-kristiyanuhan",1
"sankei",1
"khatanbatar",1
"as-sanussi",1
"sanklay",1
"sankore",1
"khatti",1
"sankristiyano",1
"khavah",1
"dekstral",1
"as-you-will-golded",1
"55.27%",1
"55.13%",1
"1960–1963",1
"1-kilometrong",1
"/tu",1
"(hell",1
"khay",1
"khawlah",1
"sanlaksa",1
"sanlibo",1
"khaykhe",1
"dekuryente",1
"khazars",1
"khazar",1
"sanlucar",1
"khazret",1
"khazraj",1
"as350",1
"as17-148-22727",1
"sanmu",1
"khedive",1
"khe",1
"sannin-musume",1
"kheir",1
"khee",1
"delacorte",1
"khelan",1
"khemarat",1
"delagado",1
"khenpo",1
"sansad",1
"delain",1
"asabikeshiinh",1
"55.4%",1
"55.3",1
"sansalitaan",1
"sansbaitself",1
"khenut",1
"sanshirō",1
"kher",1
"kheperkare",1
"khentykhetywer",1
"sanskritiko",1
"sanso",1
"khereid",1
"khet",1
"kheti",1
"delas",1
"delany",1
"asad",1
"santabárbara",1
"kheymchen",1
"santader",1
"khiao",1
"khiang",1
"delata",1
"khilafat",1
"khin",1
"delaunay",1
"santao",1
"santapau",1
"khiok",1
"asador",1
"55.9",1
"55.86",1
"1960’s-70’s",1
"santatlong",1
"santa’s",1
"sante",1
"santauhanin",1
"khiva",1
"santero",1
"khloros",1
"khloponin",1
"santhosh",1
"khludov",1
"delač",1
"delays",1
"asagaya",1
"santiango",1
"khmae",1
"santillan-castrence",1
"khnumhotep",1
"deledkegülügsen",1
"delbert",1
"santino",1
"khodā",1
"kho",1
"santokh",1
"khoi-nakhon",1
"asahang",1
"55/12",1
"55.98",1
"santong*",1
"santonil",1
"kholmogory",1
"santos(nobyembre",1
"santos-de",1
"kholodny",1
"delegado—sa",1
"santos-silva",1
"khomutovskaya",1
"khomas",1
"santuvitisi",1
"khongapani",1
"khong",1
"delegated",1
"asahara",1
"santuyo",1
"santé",1
"khonsmaakheru",1
"santísimo",1
"santīmu",1
"khoon",1
"khonglam",1
"sant’anna",1
"sanvitesi",1
"khorat",1
"sanyang",1
"khotlubey",1
"delegato",1
"delegates",1
"1961–1964",1
"1307",1
"1306.",1
"khovd",1
"khoun",1
"sanzon",1
"khristós",1
"deleterious",1
"saoc",1
"khrēsmoi",1
"khrushchev",1
"saotome",1
"khuan",1
"delfina",1
"asaka",1
"sapag-publish",1
"khujand",1
"sapagdaraos",1
"khulna",1
"khukuri",1
"delft",1
"sapagkat’t",1
"sapaglkat",1
"khun",1
"khunggirad",1
"khunsun",1
"delgra",1
"delger",1
"5500–4500",1
"1961–2009",1
"sapamantayan",1
"khurei",1
"khurba",1
"khusus",1
"khurāsān",1
"delhi-6",1
"sapaterong",1
"sapgakat",1
"khutawy",1
"saphir",1
"saphreatic",1
"sapha",1
"khutawre",1
"asam",1
"sapian",1
"sapien",1
"khutugh",1
"sapiensang",1
"khuwayli",1
"khutuk",1
"khutoi",1
"sapilitang-paggawa",1
"khuê",1
"khwaja",1
"delicate",1
"delicacy",1
"550–525",1
"550–1066",1
"1307.",1
"sapirian",1
"khyan",1
"khwarazm",1
"sapleja",1
"sapol",1
"khyber",1
"delict",1
"saponaria",1
"khúc",1
"khz-am",1
"sapphista",1
"khēme",1
"khātami",1
"delights",1
"asamblea-heneral",1
"saprolite",1
"sappy",1
"sapula",1
"ki-hyung",1
"ki-duk",1
"khūzestān",1
"sara-marie-henriette",1
"ki-sikil-lil-la-ke",1
"saraburi",1
"kiabibilangan",1
"delikasiya",1
"delikasing",1
"552",1
"kiam",1
"kiakailangang",1
"kiamba",1
"sarado-down",1
"delila",1
"delikto",1
"saradong(closed",1
"kiap",1
"kiangsu",1
"kiarostami",1
"kiara",1
"delimitasyon",1
"asames",1
"sarakham",1
"kiat",1
"kias",1
"kibawe",1
"saranga",1
"delingkwenteng",1
"delineasyon",1
"saranggani",1
"kibit",1
"saranggolang-ibon",1
"sarao",1
"saranggolang",1
"asan",1
"asamm",1
"5520",1
"1962-1972",1
"1-minutong",1
"1-minute",1
"sarapen",1
"kibong",1
"kibra",1
"saratov",1
"delisle",1
"asana",1
"saravejo",1
"kicell",1
"kibuttz",1
"sarbjit",1
"sarbaka",1
"deliver",1
"553%",1
"sarcina",1
"sarcofago",1
"kickboxing",1
"sardar",1
"sardarabad",1
"kicked",1
"asange",1
"kickoff",1
"kicking",1
"saree",1
"sareena",1
"sardonically",1
"asanoryang",1
"554",1
"1962.7mm",1
"sarema",1
"kick’",1
"sarhing",1
"kid-esque",1
"dellon",1
"sari-",1
"kidani",1
"sariatu",1
"delma",1
"dellosa",1
"dello",1
"saribuhay",1
"sariel",1
"kidder",1
"sariiling",1
"sarikula",1
"delmas",1
"delmar",1
"sarili(duplication",1
"sarili(na",1
"delmo",1
"sarili-kalikasan",1
"kidnaper",1
"deloitte",1
"asaphus",1
"asaph",1
"5544",1
"1309",1
"sariling(o",1
"kidnapping",1
"kidnapin",1
"kidnaps",1
"sariling-larawan",1
"delokalisadong",1
"delokalisado",1
"kidron",1
"sariling-natatapik",1
"delokalisasyon",1
"kidsrights",1
"kids’",1
"delokolisado",1
"asas-50",1
"asar",1
"sariling-talambuhay",1
"kid’s",1
"kidz",1
"sarilunas",1
"sarimanok,”",1
"kid”",1
"delorean",1
"sarira",1
"saringsing",1
"sarita",1
"sariwa(na",1
"kieran",1
"kienle",1
"asasenasyon",1
"1962–1971",1
"sariwŏn",1
"sariwang-hiwa",1
"sarjento",1
"sarkasmong",1
"kiesinger",1
"kiernan",1
"sarkisian",1
"sarkoma",1
"kiess",1
"kieu",1
"sarli(self-localization",1
"delpini",1
"delphinidin",1
"delphinidae",1
"sarmatyano",1
"sarmento",1
"sarling",1
"sarmoti",1
"sarnese",1
"delrio",1
"delportia",1
"sarnoff",1
"kiilala",1
"kiinabibilangan",1
"saroulla",1
"delsemme",1
"delroy",1
"557,167",1
"1962–65",1
"1309–1377",1
"1-ng",1
"sarpanitum",1
"sarpi",1
"kijang",1
"sarreal",1
"kikay",1
"delt",1
"sarrus",1
"kike",1
"sarsi",1
"deltamethrin",1
"delta-",1
"asawanglalaki",1
"sarsuwelang",1
"kikilala",1
"sartah",1
"kikilalaning",1
"kikil",1
"kikiling",1
"deltoidei",1
"sarvastivadin",1
