"corpus","war_wikipedia_2021"
"paulsen",1
"pauyag",1
"85:439-504.",1
"85:34-35.",1
"descriptionibus",1
"pavidus",1
"85–89",1
"pawar",1
"paxillibracon",1
"descriptist",1
"2012-08-24.",1
"155-166",1
"155-163.",1
"155-159",1
"154–180",1
"países",1
"pea",1
"descriptum",1
"peart",1
"descrizioni",1
"descrizione",1
"86.7%",1
"peckhama",1
"pecescriollos",1
"pectinaria",1
"peculiar",1
"desenho",1
"descriçðes",1
"2012.",1
"peculiarities",1
"pederalista",1
"desenyo",1
"pedersoli",1
"pedipalpi",1
"deserts",1
"desenvolvimento",1
"pegg",1
"peggy",1
"designasyon",1
"peks",1
"pekin",1
"desierto",1
"865-958",1
"155-172",1
"pelastoneurus",1
"peleides",1
"deskripsyon",1
"peletier",1
"desmiphora",1
"desmiostoma",1
"desjardin",1
"peltotrichius",1
"pelvic",1
"peloponnese",1
"peláez",1
"desqueyroux",1
"desong",1
"desmoptera",1
"867-882",1
"pemphigus",1
"pence",1
"desriptions",1
"pener",1
"desyerto",1
"dessalines",1
"desqueyroux-faúndez",1
"penh",1
"peninsular",1
"detail",1
"pennaseius",1
"determinação",1
"detektor",1
"87-104.",1
"87-101.",1
"2014–",1
"120°17''sidlangan",1
"pensoft",1
"penrose",1
"pentatermus",1
"pentelia",1
"deutsch",1
"deuterixys",1
"pentodontini",1
"penélope",1
"deutschlands",1
"devario",1
"87-90.",1
"87-89.",1
"87-125",1
"percnobracon",1
"percomorpha",1
"devils",1
"percopsidae",1
"perdita",1
"devriese",1
"87-94",1
"peregrinus",1
"perennis",1
"dewar",1
"perez-gelabert",1
"dewitz",1
"87-95.",1
"87-94.",1
"87-92",1
"87-117",1
"perileucoptera",1
"perilitus",1
"deyrolle",1
"peringuey(miscellanea",1
"peripatidae",1
"dhabi",1
"dexiognatha",1
"periplus",1
"peristenus",1
"peripatus",1
"perithemis",1
"diadromus",1
"diacritus",1
"diacanthus",1
"870–c",1
"perl",1
"diaglyptidea",1
"perolepis",1
"permanente",1
"diaglyptella",1
"perroud",1
"perplexus",1
"perse",1
"dialepta",1
"diakonoff",1
"diahogna",1
"2019.",1
"121-124.",1
"121-124",1
"1-39.",1
"1-386",1
"1-100.",1
"persian",1
"perske",1
"diamante",1
"peruvian",1
"diametro",1
"dialithus",1
"peruvianus",1
"peryodiko",1
"diapriiden",1
"perù",1
"diaspididae",1
"dias",1
"diaphorina",1
"879-1149",1
"pest",1
"petaloclymene",1
"diaz",1
"petalura",1
"dicaelodontina",1
"dibisyon",1
"diatraea",1
"peterle",1
"dichochrysa",1
"dicaprio",1
"dichrogaster-arten",1
"peterson",1
"88-89(syn",1
"88-89",1
"88-101.",1
"202-208.",1
"petr",1
"petra",1
"dictator",1
"petrobia",1
"petrunkevitch",1
"dictionnaire",1
"88-handana",1
"petti",1
"pettiboneia",1
"dictyna",1
"peuplement",1
"peyton",1
"dictyoceratid",1
"dictydea",1
"88-90",1
"pfau",1
"phacellocera",1
"dictyoceratidsponges",1
"phaea",1
"dictyophoridae",1
"dictyopharidae",1
"880-882.",1
"phalarus",1
"phaeophilacris",1
"phallostethid",1
"didto",1
"didrikson",1
"dictyoptera",1
"155–163",1
"121-126",1
"121-125.",1
"phaneropterinen-gattung",1
"phaneropteriden",1
"phanotea",1
"pharmacist",1
"phanerotomella",1
"8834.",1
"phascolion",1
"phasmiden",1
"diestrammena",1
"dies",1
"2026",1
"phelsuma",1
"phengodidae",1
"phelps",1
"phenol",1
"dietr",1
"diethard",1
"dieter",1
"philinae",1
"philia",1
"philippe",1
"differ",1
"diexis",1
"dieuzeidei",1
"diet",1
"156,600",1
"philippinis",1
"differentiate",1
"digri",1
"diguetidae",1
"89-103",1
"89,396",1
"dihammus",1
"dihammaphora",1
"dihydrogen",1
"phlaeothripidae",1
"89-91.",1
"89-91",1
"203-204",1
"dijmphna-togtets",1
"dikraneura",1
"89-93.",1
"dikraneurini",1
"dikrongensis",1
"89-96",1
"203-206",1
"pholcidae",1
"dilatata",1
"89-97",1
"dili",1
"dilecta",1
"203-206.",1
"156-159.",1
"156-159",1
"105-110",1
"105-109.",1
"photostomias",1
"photos",1
"phreatoicopsis",1
"phreatoicus",1
"phreatoicoides",1
"dillingham",1
"phryganea",1
"phuan",1
"dimarella",1
"phygadeuontini",1
"dimeragrion",1
"dimensyon",1
"dilochrosis",1
"203-211",1
"phyllocnistis",1
"dimitri",1
"din",1
"dimidiata",1
"phyllosticta",1
"phylogenie",1
"dinagat",1
"phylogénie",1
"phylum",1
"dinastriya",1
"896.63",1
"895-mapsynonym",1
"156-225.",1
"physaraia",1
"phymerus",1
"phytalus",1
"phymatostetha",1
"phytodietini",1
"dinmalagan",1
"phytophaga",1
"dinophilidae",1
"dino",1
"dinmako",1
"dingerkus",1
"phytoseiulus",1
"dinornthiformes",1
"dinornis",1
"pianista",1
"piccoli",1
"dinu-ongan",1
"8a-c",1
"piccolo",1
"pici",1
"diomma",1
"dionysus",1
"piedmont",1
"8a-i",1
"8a-e",1
"8:87-92.",1
"89:477-516.",1
"121-159.",1
"pierce",1
"diores",1
"piero",1
"diospilus",1
"diosesis",1
"diophantus",1
"pietro",1
"dioxide",1
"diospyros",1
"pigmented",1
"diplazontinae",1
"9(1–2",1
"9(1",1
"8e",1
"pilargiid",1
"pilg",1
"diplopod",1
"pilipina",1
"pilipinhon",1
"diplothorax",1
"9,002.70",1
"piloseta",1
"pillans",1
"dippenaar-schoeman",1
"dipsas",1
"9-10",1
"9,757.53",1
"9(2",1
"203–205",1
"pimelodidae",1
"pilosus",1
"pimplomorpha",1
"pimplinarum",1
"dipterygeae",1
"pinaagi",1
"pinacanauan",1
"dira",1
"pinaka",1
"pinaka-amihanan-sidlangan",1
"dirac",1
"diputado",1
"diptera.",1
"pinaka-impluwensyal",1
"pinaka-katundan",1
"direkta",1
"pinakaamihanan",1
"pinakadukwag",1
"direkta-nga-gindudumara",1
"directress",1
"pinakaigbaw",1
"pinakakatundan",1
"diri-britaniko",1
"pinakamadukwag",1
"diri-sidereal",1
"diri-opisyal",1
"9-15",1
"9-14",1
"9-13",1
"105-118",1
"105-113",1
"1-394",1
"pinakasinirangan",1
"pinamumunuan",1
"pinakasidlangan",1
"pinamunoan",1
"pinarasa",1
"discogobio",1
"dirocoremia",1
"pinaurog",1
"pincheira",1
"pinatam-is",1
"discributa",1
"pini",1
"9-32",1
"9-28.",1
"9-27.",1
"piniliay",1
"pinirito",1
"disembolus",1
"pinkley",1
"disiyembre",1
"disisais",1
"9-60",1
"pinot",1
"pinratani",1
"dismodicus",1
"disney",1
"disparizona",1
"9.",1
"9-74",1
"9-53",1
"9-17.",1
"pinus-arten",1
"piogaster",1
"disponendi",1
"pionini",1
"dissert",1
"disposita",1
"displaying",1
"dissitus",1
"dissertatio",1
"distansiya",1
"90-96.",1
"90-95.",1
"pirozynski",1
"pis",1
"pirok",1
"pisana",1
"distansya",1
"pisces:syngnathidae",1
"pisikal",1
"distinct",1
"piso",1
"distribución",1
"901-910",1
"900,000.",1
"90%",1
"156:1703-1714.",1
"pisum",1
"pisyologo",1
"distributed",1
"pitelkai",1
"district",1
"901-917",1
"piyesta",1
"piulachs",1
"più",1
"pkb",1
"piyudalismo",1
"districts",1
"205-207",1
"pkt",1
"placement",1
"ditrypa",1
"placozoa",1
"plaka",1
"divaricadas",1
"ditlevsen",1
"planches",1
"planet",1
"planchard",1
"planipennes",1
"planktonic",1
"planina",1
"diversi",1
"205-211.",1
"205,764.",1
"plantas",1
"plasmodium",1
"plasma",1
"planodema-art",1
"plata):530",1
"platev",1
"diyalekto",1
"diyos-diyos",1
"platocoelotes",1
"91-110",1
"205.",1
"205-219",1
"platonismo",1
"platyarthrini",1
"djibouti",1
"platycephalidae",1
"djursvoll",1
"djiboutian",1
"91-94",1
"platycnemis",1
"platydactylus",1
"platycneminae",1
"platydecticus",1
"dnieper",1
"91-97.",1
"91-95",1
"157-166.",1
"157-162",1
"157-158",1
"105-148.",1
"platypterna",1
"platysomatine",1
"platypezidae",1
"plavilstshikov",1
"platystictidae",1
"dobreanu",1
"plecopteres",1
"plectiscini",1
"dobsonfly",1
"dobsonflies",1
"dobrogicus",1
"dobbie",1
"pleuromenus",1
"plega",1
"pleuronectidae",1
"pleustidae",1
"documents",1
"doctorate",1
"plocaederus",1
"plon",1
"plitmann",1
"plovdiv",1
"doganlar",1
"doeringiella",1
"dodge",1
"docavoi",1
"doadrio",1
"pluwidodinamika",1
"po",1
"poachers",1
"plōtinos",1
"plunkett",1
"pod",1
"podallea",1
"podkopayeva",1
"dolichopoda",1
"dolichiscus",1
"doktor",1
"podmoskovia",1
"podres",1
"dolichopterus",1
"poeciloxestia",1
"doliver",1
"dolichopodidae",1
"pogonocherini",1
"point",1
"pogonarthron",1
"pokivajlov",1
"domenico",1
"domenichini",1
"dolomedes",1
"92-112",1
"918.",1
"915,000",1
"polański",1
"polen",1
"polanski",1
"polijodon",1
"polimer",1
"domikano",1
"domesticus",1
"poliquetos",1
"dominasyon",1
"domingoensis",1
"dominante",1
"domesticado",1
"politko",1
"politkal",1
"poloniae",1
"dominici",1
"dominicana",1
"dominica",1
"poltys",1
"poly",1
"dominikano",1
"dominique",1
"dominion",1
"dominicos",1
"925-933",1
"9214",1
"polychetos",1
"polychète",1
"polycirrus",1
"polychrotidae",1
"polychaetenfauna",1
"polycystidae",1
"polydesmidenfauna",1
"dondale",1
"polydictya",1
"polydorid",1
"donell",1
"donaldson",1
"domino",1
"polymastia",1
"polymorphism",1
"polydorids",1
"polynesian",1
"polynesia",1
"dongju",1
"polynoids",1
"polyodontes",1
"donoso",1
"polyptychus",1
"polysphincta",1
"doosia",1
"donnes",1
"93-108",1
"93-106",1
"206-208",1
"121:249-279.",1
"1-40.",1
"00690ss",1
"0034",1
"polítiko",1
"pomares",1
"dorgon",1
"dorcadions",1
"dorado",1
"ponchel",1
"pondkeeper",1
"pompeii",1
"dorr",1
"dorsal",1
"93-94.",1
"93-174.",1
"93-131.",1
"pontos",1
"poorly",1
"dorsal1",1
"poot",1
"pop/rock-electronika",1
"dorvillea",1
"93-96",1
"popper",1
"popovici-biznosanu",1
"dosse",1
"dostoyevsky",1
"93-99",1
"93-96.",1
"93-95",1
"93-116.",1
"porat",1
"dotted",1
"dotocryptus",1
"porcellionidae",1
"porifera,demospongiae",1
"doubleday",1
"93.",1
"porizontini",1
"porirua",1
"pormula",1
"downey",1
"dov",1
"douglass",1
"93-99.",1
"porsyento",1
"port",1
"porsentahe",1
"porteri",1
"doyle",1
"downy",1
"downtown",1
"portorico",1
"portucalense",1
"doyère",1
"portugesa",1
"portugese",1
"doñana",1
"207-227.",1
"207-211",1
"207-210",1
"158-161.",1
"posible",1
"draconarius",1
"possible",1
"dragon-fly",1
"dragon",1
"draco",1
"postilla",1
"potato",1
"dragoneutes",1
"potograpo",1
"potosi",1
"dragonfish",1
"dragonet",1
"207.",1
"pouz",1
"povolný",1
"poulain",1
"poweta",1
"poydi",1
"drainages",1
"drainage,brazil",1
"poëy»",1
"dramatista",1
"drama",1
"practitioner",1
"praeger",1
"dransfield",1
"94.4",1
"93–98",1
"207-405.",1
"praha",1
"praga",1
"prat",1
"prasad",1
"drayber",1
"preah",1
"prealpi",1
"drei",1
"precloacal",1
"dresco",1
"drenthe",1
"dredged",1
"drassodes",1
"predtechenskii",1
"predicadores",1
"pregill",1
"premiere",1
"drittes",1
"dried",1
"prensa",1
"prentice",1
"premyo",1
"prepektura",1
"preserved",1
"drouet",1
"dromicus",1
"943.",1
"940–1020",1
"158.",1
"122-126.",1
"presyon",1
"prestihiyoso",1
"pretoria",1
"preuss",1
"pretiliini",1
"druga",1
"pribenecensis",1
"price",1
"drumontiana",1
"prickly-pear",1
"dryopidae",1
"drymadusa",1
"drumonti",1
"druce",1
"primarya",1
"primates",1
"drzewnego",1
"primera",1
"primitive",1
"dsir",1
"dryopteris",1
"primona",1
"primorje-gebiet",1
"duae",1
"primorye",1
"dublin",1
"dubius",1
"95-110",1
"95-109.",1
"95-106",1
"principe",1
"principles",1
"duboisius",1
"prinsipal",1
"duchassaing",1
"ducetia",1
"dubois",1
"prionide",1
"dudgeon",1
"duckei",1
"prionine",1
"duduha",1
"dudley",1
"95-99.",1
"95-97.",1
"priotomis",1
"priopoda",1
"probinsiya",1
"proavga",1
"dugan",1
"probinsyal",1
"problem",1
"dugesi",1
"dugand",1
"duftorganen",1
"95-96.",1
"95-100",1
"proctoloabinae",1
"prodi",1
"proconiini",1
"produkto",1
"produksyon",1
"duke",1
"progomphus",1
"profunda",1
"progresibo",1
"proklamasyon",1
"dumagsaon",1
"dumagsaaan",1
"duha-katulo",1
"pronoto",1
"promachus",1
"pronzato",1
"proper",1
"dumay",1
"dumako",1
"proposal",1
"propolydesmus",1
"proprioseius",1
"prosentoria",1
"dune",1
"duménil",1
"dumaguete",1
"96-98",1
"prosymna",1
"protesta",1
"prospetto",1
"protoariciin",1
"protolestes",1
"duodecima",1
"protoneura",1
"protosphaerion",1
"dupont",1
"duo",1
"dung",1
"protórax",1
"protosticta",1
"providence",1
"provinces",1
"proudlove",1
"duro",1
"proximas",1
"provinciis",1
"pruners",1
"duruongan",1
"durungan",1
"durieu",1
"963-998",1
"96(syn",1
"1-409",1
"1-401",1
"présumés",1
"przemyslu",1
"prétot-vicquemare",1
"dustin",1
"dusona",1
"durward",1
"psadacoptera",1
"psammodiini",1
"dutchman",1
"psammoduon",1
"dutse",1
"duterte",1
"dutch",1
"967/969/975",1
"pselaphidae",1
"pseudale",1
"duungan",1
"pseudanomalon",1
"duval",1
"duv",1
"dutt",1
"pseudestola",1
"pseudioninae",1
"dwarf",1
"pseudoboine",1
"pseudoeriphus",1
"dwelling",1
"97-102",1
"97,226",1
"209-210.",1
"pseudofabriciola",1
"pseudogeloius",1
"pseudoexiguum",1
"pseudoleptus",1
"dyer",1
"dybowski",1
"97-111.",1
"pseudopathocerus",1
"pseudophasmatidae",1
"pseudopachydema",1
"dynastiden",1
"dynastiden-arten",1
"97-128.",1
"97-112",1
"97-102.",1
"pseudopterorthochaetes",1
"pseudosaproecius",1
"dynastine",1
"pseudosordidula",1
"dyscoletes",1
"dyschiriognatha",1
"dynastinae",1
"psikolohikal",1
"psikohista",1
"psychodid",1
"psoralea",1
"pseudotypocerus",1
"97-99.",1
"159-164",1
"159-163",1
"psychopsidae",1
"psyllid",1
"psycholohista",1
"démembrement",1
"délégation",1
"dáil",1
"psyllodea",1
"psylloidea-",1
"désiré",1
"psylotoxus",1
"díaz",1
"dìwén",1
"dépendances",1
"d´entomologie",1
"pterocaesio",1
"pterois",1
"düzgünes",1
"d’egypte",1
"dēmosthénēs",1
"dúgang",1
"pterotiltus",1
"pteroplistinae",1
"ptolemaiko",1
"ptygonotus",1
"d’ivoire",1
"d’espèces",1
"159-172",1
"159-168.",1
"publicaciones",1
"e-f",1
"publique",1
"publiko",1
"98,985",1
"e.b.g",1
"puebla",1
"98-103.",1
"pufferfish",1
"puget",1
"e.e",1
"20:21-22.",1
"20:116-120.",1
"pulau",1
"pujol-luz",1
"pulgadas",1
"pulitika",1
"pulgada",1
"e.j.f",1
"punctata",1
"pumilus",1
"pundasyon",1
"punctulata",1
"pulong",1
"21(1",1
"159-175.",1
"1227-1235",1
"1057-1062",1
"punkak",1
"punjab—pakistan",1
"punoanon",1
"eapen",1
"eamon",1
"e.wasmann",1
"earl",1
"purpurea",1
"purpuricenus",1
"earota",1
"earinus",1
"e.v",1
"pusan",1
"purót-putyukan",1
"pusitibu",1
"pustulata",1
"eastin",1
"989-1002",1
"puthaw",1
"eats",1
"easton",1
"pučnik",1
"99,274",1
"21,766",1
"21,171",1
"21):187-191",1
"pwerto",1
"ebermann",1
"ebenseo",1
"pycnomerus",1
"pycnogastrinae",1
"99-100.",1
"pygocryptus",1
"ebolusyonaryo",1
"ebolusyon",1
"eboria",1
"ebrahim",1
"99-112",1
"99-101",1
"99-100",1
"pyrgom",1
"pyrgomorphini",1
"pyralidae",1
"pyrgoniscus",1
"pyrolycus",1
"eccarius",1
"99-125",1
"pythonidae",1
"python",1
"pérez-de-greg",1
"echetlus",1
"echemella",1
"21-29",1
"21-28",1
"21-23.",1
"21(2",1
"q.h",1
"péripate",1
"qatar",1
"qi",1
"echinogobius",1
"echinoderms",1
"qianlabeo",1
"qin"",18",1
"echthrus",1
"echthronomas",1
"echiuroidea",1
"echiniscidae",1
"quadrimaculata",1
"quagga",1
"eclipophleps",1
"quan",1
"eclytus",1
"ecija",1
"ecologia",1
"ecobiology",1
"quedendeldt",1
"quedenf",1
"ecologija",1
"998.",1
"997–1000",1
"21-51",1
"queenslandi",1
"quercus",1
"ecossistema",1
"economics",1
"9:52-67.",1
"quezon",1
"quinque",1
"ecphylus",1
"quinquelocularis",1
"ecuatorial",1
"ecuadorian",1
"9a-c",1
"2101",1
"quos",1
"quod",1
"r.-hamet",1
"ed.),systematics",1
"edgerton",1
"edgerly",1
"edificio",1
"ediciones",1
"2103",1
"2102",1
"123-128",1
"123-124.",1
"1-433",1
"1-43",1
"1-117.",1
"edilemma",1
"edifisyo",1
"r.luz",1
"r.n",1
"a,4",1
"a)5(46):9",1
"r.n.r",1
"r.r",1
"editions",1
"editors",1
"a-b",1
"a,b",1
"2105",1
"r.z",1
"racer",1
"editoryal",1
"edme",1
"racibórz",1
"a-g",1
"a-d",1
"radiaires",1
"radio",1
"radhakrishnan",1
"radiosa",1
"radnetzspinnen-gattung",1
"edouard",1
"2107",1
"2106",1
"2104",1
"radui",1
"edsa",1
"a.a.w",1
"rafer",1
"a.b",1
"2108",1
"educational",1
"educ",1
"edukasyonalista",1
"raimund",1
"a.c.m",1
"2109",1
"16(2",1
"rainer",1
"rainbowfish",1
"rajasthan",1
"rajeshkumar",1
"eel-loach",1
"a.descarpentries",1
"rajmund",1
"eelpouts",1
"a.e",1
"eels",1
"rama",1
"a.e.z",1
"211-212.",1
"16(3",1
"123-147",1
"123-132",1
"ramakrishnan",1
"ramanujan",1
"efthimios",1
"rameaux",1
"egmond",1
"egesina",1
"a.g",1
"ramsfield",1
"rampini",1
"egyptian",1
"a.h",1
"211-328",1
"211-218",1
"range",1
"ranggo",1
"randy",1
"raoul",1
"a.j.l",1
"2110",1
"rapp",1
"raphipodus",1
"ehrenberg",1
"a.k.a",1
"2111",1
"16,390/km²",1
"16(4",1
"raske",1
"rashtrapati",1
"rason",1
"eichl",1
"eichhorni",1
"ehrmann",1
"rather",1
"eies",1
"a.m.c",1
"raubmilbenarten",1
"raubmilbengattung",1
"ratti",1
"2113",1
"2112",1
"ravenelia",1
"ravenna",1
"eijiroh",1
"rawls",1
"ravnonogie",1
"eijiro",1
"raymundo",1
"a.q",1
"rayss",1
"einschlieblich",1
"a.r",1
"2115",1
"2114",1
"16-29.",1
"106-118.",1
"1-434",1
"re-examination",1
"eiphosoma",1
"einschliesslich",1
"reaksyon",1
"reanalysis",1
"eisig",1
"a.s.losina-",1
"reba",1
"ejército",1
"eisuke",1
"ekiti",1
"a.schreib",1
"a.s.y",1
"2117",1
"receuillis",1
"reck",1
"ekm",1
"rectificatif",1
"ekologija",1
"eklesyastiko",1
"ekolohikal",1
"ekologiya",1
"recuellis",1
"reddell",1
"a.villiers",1
"2119",1
"2118",1
"2116",1
"redefined,with",1
"redentor",1
"ekonomiko",1
"redescrições",1
"a.w.m",1
"redeskription",1
"ektarya",1
"eksperimental",1
"redstone",1
"reduction",1
"el-badry",1
"aa",1
"a.w",1
"reductoniscus",1
"reed",1
"el-halawany",1
"rees",1
"reflex",1
"elaine",1
"aado",1
"elam",1
"elaphidiini",1
"aantekeningen",1
"reginae",1
"regio",1
"aaria",1
"2122",1
"2121",1
"2120",1
"106-121.",1
"registerband",1
"regione",1
"región",1
"elapid",1
"elaphocera-arten",1
"regni:quadrupedia,aves,amphibia,pisces,insecta,vermes,distributa",1
"regno",1
"elasmid-wasps",1
"elastic",1
"elasmobranchii",1
"abaltzisketa",1
"abakaliki",1
"elbeltagi",1
"elateropsis",1
"elbert",1
"eldrick",1
"abang",1
"abanador",1
"eleandro",1
"electromagnetismo",1
"abansado",1
"electronic",1
"relasyon",1
"abashiri",1
"2126",1
"2125",1
"2124",1
"relatibistika",1
"elehido",1
"elegans",1
"elektrik",1
"relihiyoso",1
"abbasid",1
"abb",1
"elektrisidad",1
"elektromagnetika",1
"elektromagnetiko",1
"abbildungen",1
"abbiatti",1
"2128",1
"ren",1
"elemental",1
"elektronika",1
"renaud",1
"rene",1
"elementaryo",1
"abbé",1
"renieri",1
"rennes",1
"reniera",1
"renoir",1
"elevation",1
"aberrans",1
"abe",1
"2129",1
"2127",1
"2123",1
"1-48",1
"1-122.",1
"replacement",1
"repertorium",1
"represa",1
"elia",1
"elgin",1
"abessynische",1
"elicodasia",1
"elias",1
"eliezer",1
"elie",1
"abitanti",1
"aberrant",1
"elin",1
"elimaea",1
"república",1
"eliptikal",1
"elipsocubitalis",1
"abnormalidad",1
"elisa",1
"elisabethae",1
"abol-qāsem",1
"resistensya",1
"resolusyon",1
"reserve.ix",1
"213-218.",1
"213-216",1
"213-215.",1
"ressurection",1
"restaurant",1
"eliyathamby",1
"retamae",1
"reticulatus",1
"elkabbach",1
"above",1
"retocomus",1
"ellen",1
"retzer",1
"elliott",1
"ella",1
"213-230",1
"reverter-gil",1
"revalidações",1
"revisao",1
"elon",1
"abracris",1
"elpidio",1
"elsley",1
"abrahamiko",1
"elwesi",1
"abridor",1
"2131",1
"2130",1
"213-228.",1
"213-214.",1
"rexer",1
"elytrons",1
"elytroleptus",1
"reynoldsi",1
"reynaud",1
"abrilata",1
"emanuele",1
"embiidina",1
"abrolhos",1
"embil",1
"embioptera",1
"abrs",1
"2133",1
"2132",1
"rhamphichthys",1
"rheims",1
"embryology",1
"rhenanus",1
"emerton",1
"emerson",1
"absoluto",1
"rhinocerous",1
"rhinophoridae",1
"emery",1
"emine",1
"rho",1
"abundante",1
"2135",1
"2134",1
"161-170",1
"rhodacaridae",1
"rhode",1
"emiratos",1
"rhododendron",1
"emmet",1
"emmeren",1
"abyssal",1
"emmo",1
"emmrich",1
"abyssicola",1
"emmy",1
"emo",1
"abyssinia",1
"2137",1
"2136",1
"rhynchotalia",1
"empedocles",1
"emosyón",1
"empedoklēs",1
"ribalaygua",1
"abū",1
"abyssorum",1
"empididae",1
"empire",1
"acacesia",1
"ribosomal",1
"acad",1
"213–228",1
"2139",1
"161-177",1
"161-166",1
"161-165.",1
"ricchiardi",1
"richardso",1
"riccardo",1
"richmond",1
"rick",1
"enchytraeidae",1
"ricker",1
"enclisis",1
"enchelycore",1
"academico",1
"ridlet",1
"riegel",1
"encyclopædia",1
"rigout",1
"riferibile",1
"academiei",1
"riley",1
"rinuso",1
"acaenitinae",1
"endasys",1
"rishi",1
"acakyra",1
"2140",1
"214.70",1
"213–230",1
"rivadavia»",1
"endemique",1
"endemismo",1
"rivera-cervantes",1
"acanthicolepis",1
"acampsis",1
"rivuline",1
"rivers",1
"riyadh",1
"rizal",1
"rix",1
"endomychidae",1
"2142",1
"rl",1
"roatan",1
"endoparasit",1
"robbery",1
"endémico",1
"acanthocope",1
"robertsi",1
"robineau-desvoidy",1
"engelbart",1
"engl",1
"robnett",1
"acanthodii",1
"2144",1
"2143",1
"2141",1
"1610:53-59.",1
"robustus",1
"rocco",1
"robustella",1
"rockpool",1
"enidia",1
"acanthophorini",1
"rocky",1
"enneades",1
"enigmatic",1
"rodnina",1
"rodolfo",1
"enrico",1
"acanthurus",1
"2146",1
"rodriguez",1
"rodríguez",1
"enrugado",1
"roemer",1
"roessler",1
"ensaykopedya",1
"acariformes",1
"roeweriella",1
"enterica",1
"acarnidae",1
"rogas",1
"entidad",1
"entertainment",1
"2148",1
"2147",1
"2145",1
"rokicki",1
"rollard",1
"roig-alsina",1
"entomacrodus",1
"romand",1
"entomologcal",1
"romaniei",1
"romansa",1
"entomologen.51:65-74",1
"acaua",1
"2149",1
"romanyana",1
"romblon",1
"romanya",1
"ronaldo",1
"account",1
"entomologicheskago",1
"ronderos",1
"aceh",1
"rongmao",1
"ronniger",1
"acentrella",1
"215-225",1
"215-219.",1
"124.",1
"124-125.",1
"123–128",1
"1-5.",1
"0544.",1
"045c",1
"-35.017",1
"-.",1
"roohi",1
"rorulenta",1
"entomologicos",1
"rosaceae",1
"rosales",1
"rosa",1
"acestrocephalus",1
"rosea",1
"rosas",1
"rossel",1
"acestrorhynchids",1
"acestrorhynchidae",1
"acerataspis",1
"rossi",1
"entomologisches",1
"entomologiske",1
"rostella",1
"achaearanea",1
"acevedo",1
"rotatorien",1
"rotheray",1
"achaemenes",1
"rotifer-attacking",1
"rougeot",1
"achard",1
"2151",1
"2150",1
"215-227.",1
"roumèguere",1
"rourke",1
"roumanie",1
"entomoservice",1
"entomophagous",1
"acharya",1
"entonology",1
"rozbaczylo",1
"entre",1
"entoria",1
"achille",1
"2153",1
"rtt",1
"rubicundus",1
"enulius",1
"rubithorax",1
"rudd",1
"enumerat",1
"entypesa",1
"eodelena",1
"eodendrus",1
"ackerm",1
"eodorcadion",1
"eoperipatus",1
"ackerman",1
"2155",1
"2154",1
"2152",1
"215-225.",1
"rufous",1
"rugosa",1
"rufiyah",1
"ruiping",1
"rullieri",1
"epalzeorhynchos",1
"acoetes",1
"rumänien",1
"runcinia",1
"epania",1
"eperigone",1
"rupicolous",1
"acorep",1
"2157",1
"2156",1
"rupublik",1
"rus",1
"ephemeropt",1
"ephialtes",1
"ephippiger",1
"acoustic",1
"acores",1
"russkago",1
"ephraim",1
"epiclytus",1
"acres",1
"2159",1
"2158",1
"162-174",1
"ruteliden-gattung",1
"ruteliden",1
"rutelides",1
"epiphyllic",1
"epiperipatus",1
"epigean",1
"ruthven",1
"rutélides",1
"rutherford",1
"ruyters",1
"rwanda",1
"epitome",1
"epipocinae",1
"acridid",1
"rybakov",1
"eptatretus",1
"epropetes",1
"ryonosuke",1
"ryu",1
"equator",1
"acrididdae",1
"equidae",1
"acrididen",1
"rzhavsky",1
"equus",1
"2161",1
"2160",1
"216-221",1
"162-170.",1
"162-163",1
"rácenis",1
"réal",1
"eranina",1
"réserve",1
"erbeuteten",1
"erbe",1
"erana",1
"ríos",1
"röbling",1
"erdogan",1
"rōnin",1
"erect",1
"erdoíza",1
"acridoid",1
"acridiodea",1
"s.-i",1
"eremnopyge",1
"erectus",1
"s.e",1
"eresus",1
"eresidae",1
"acridologie",1
"s.j",1
"eretes",1
"ergänzung",1
"ergus",1
"2164:33-40.",1
"2164",1
"2163",1
"s.r",1
"erianthus",1
"erianthinae",1
"eriborus",1
"eric",1
"acromia",1
"acrocinini",1
"saba",1
"erich",1
"ericandersonia",1
"sabaudicus",1
"acrydier",1
"2165",1
"sabellidae:polychaeta",1
"erie",1
"eridolius",1
"sabri",1
"sachin",1
"eriesthis",1
"acrydinae",1
"sacré-cœur",1
"sadlier",1
"sacramento",1
"saeger",1
"erigonine",1
"actaecia",1
"2166",1
"2165:59-68.",1
"2164:41-48.",1
"2162",1
"sagata",1
"sagrado",1
"erik",1
"saharan",1
"eriostethus",1
"eriocera",1
"erigonoplus",1
"sahul",1
"eriphus",1
"eriphosoma",1
"sakakibara",1
"sakayan",1
"eritrean",1
"actualización",1
"actinopodidae",1
"sakít",1
"sakurai",1
"salamandra",1
"salapi",1
"ernő",1
"acyphoderes",1
"salariinae",1
"erpetogomphus",1
"erotylidae",1
"salatan-sidlangan",1
"erpetologiques",1
"erpetologica",1
"acyrtosiphon",1
"2169",1
"2168",1
"saldanha",1
"salibo",1
"salcete",1
"salinger",1
"salka",1
"erstbeschreibung",1
"erpétologiques",1
"salm",1
"ertekezesek",1
"erstes",1
"salomona",1
"erylus",1
"ertz",1
